count,shape,method,peak_memory_mib,memory_increment_mib,cpu_user_seconds,cpu_system_seconds,cpu_total_seconds,wall_time_seconds
100,poly16,stcs_only,397.12,0.0,0.231,0.0302,0.261,0.421
100,poly16,add_table,398.12,0.01,0.18,0.0488,0.229,0.386
1000,poly16,stcs_only,398.54,0.0,0.188,0.0169,0.205,0.363
1000,poly16,add_table,400.41,0.0,0.211,0.0512,0.262,0.381
10000,poly16,stcs_only,415.64,0.0,0.208,0.0587,0.267,0.387
10000,poly16,add_table,438.29,0.0,0.447,0.0386,0.485,0.614
100000,poly16,stcs_only,566.13,0.0,0.515,0.112,0.628,0.768
100000,poly16,add_table,780.96,0.0,2.64,0.168,2.8,2.96
200000,poly16,stcs_only,1036.82,0.0,1.05,0.221,1.27,1.43
200000,poly16,add_table,1456.39,0.02,4.97,0.29,5.26,5.44
100,square,stcs_only,396.7,0.0,0.191,0.0203,0.211,0.345
100,square,add_table,396.77,0.0,0.199,0.0277,0.226,0.346
1000,square,stcs_only,397.11,0.0,0.2,0.03,0.23,0.356
1000,square,add_table,398.19,0.02,0.206,0.0393,0.246,0.412
10000,square,stcs_only,403.71,0.0,0.198,0.0497,0.247,0.379
10000,square,add_table,411.25,0.0,0.405,0.0577,0.462,0.59
100000,square,stcs_only,451.02,0.0,0.418,0.0696,0.487,0.603
100000,square,add_table,543.61,0.0,2.73,0.0472,2.77,2.95
200000,square,stcs_only,629.93,0.0,0.939,0.109,1.05,1.17
200000,square,add_table,817.11,0.0,5.16,0.0901,5.25,5.47
100,circle,stcs_only,397.15,0.0,0.214,0.0013,0.215,0.334
100,circle,add_table,397.22,0.0,0.183,0.0456,0.229,0.346
1000,circle,stcs_only,397.38,0.0,0.205,0.0207,0.226,0.354
1000,circle,add_table,398.46,0.0,0.256,0.038,0.294,0.426
10000,circle,stcs_only,401.38,0.0,0.194,0.0492,0.244,0.373
10000,circle,add_table,407.76,0.0,0.41,0.0353,0.445,0.572
100000,circle,stcs_only,428.07,0.0,0.361,0.0489,0.409,0.532
100000,circle,add_table,492.22,0.0,2.41,0.0614,2.47,2.61
200000,circle,stcs_only,539.95,0.0,0.939,0.0923,1.03,1.59
200000,circle,add_table,715.04,0.0,4.86,0.0226,4.88,5.21
